day,avatar-cell href,commit-row-message,commit-row-message href,commit-row-description,,,,,
"15 Jun, 2021",,,,,,,,,
,G,Merge,A,,,,,,
"08 Jun, 2021",,,,,,,,,
,O,Merge,A,,,,,,
"28 May, 2021",,,,,,,,,
,I,MNT-587 Correção bug deslocamento de turnos quando não há primeiro turno,A,,,,,,
"12 May, 2021",,,,,,,,,
,G,Merge,A,,,,,,
"10 May, 2021",,,,,,,,,
,G,Merge,A,,,,,,
"07 May, 2021",,,,,,,,,
,G,Merge,A,,,,,,
"06 May, 2021",,,,,,,,,
,G,em executando producao ao ir para tela de parada pega a data inicio producao como data fim,A,,,,,,
"05 May, 2021",,,,,,,,,
,I,Alteração data do relatório excel considerando timezone,A,,,,,,
"03 May, 2021",,,,,,,,,
,P,Corrigindo bug que fazia o usuário se logar em outra conta,A,,,,,,
"30 Apr, 2021",,,,,,,,,
,G,correção para limpar motivo de parada ao selecionar ou trocar tipo de parada,A,,,,,,
"27 Apr, 2021",,,,,,,,,
,G,Merge,A,,,,,,
"26 Apr, 2021",,,,,,,,,
,G,ordenacao nas acoes selecionadas da transicao e ao selecionar acao remove da...,A,ordenacao nas acoes selecionadas da transicao e ao selecionar acao remove da lista de acoes selecionaveis,,,,,
"23 Apr, 2021",,,,,,,,,
,G,valores zerados e itens vazios,A,,,,,,
"22 Apr, 2021",,,,,,,,,
,P,Adicionando preenchimento automático do campo turma,A,,,,,,
"20 Apr, 2021",,,,,,,,,
,O,Removido o envio de tags desativadas para o front.,A,,,,,,
"19 Apr, 2021",,,,,,,,,
,P,Merge,A,,,,,,
"16 Apr, 2021",,,,,,,,,
,P,Merge,A,,,,,,
"15 Apr, 2021",,,,,,,,,
,G,mensagens para remover notificacao da fila de produzidos,A,,,,,,
"14 Apr, 2021",,,,,,,,,
,G,Preenchimento automático das notificações.,A,,,,,,
"12 Apr, 2021",,,,,,,,,
,G,update MachineHistoric,A,,,,,,
"08 Apr, 2021",,,,,,,,,
,G,Merge,A,,,,,,
"07 Apr, 2021",,,,,,,,,
,G,sem necessidade do botão limpar filtro,A,,,,,,
"30 Mar, 2021",,,,,,,,,
,P,Apagando códigos comentados e limpeza com SonarLint 1,A,,,,,,
"24 Mar, 2021",,,,,,,,,
,P,Corrigindo text overflow dos títulos e desistindo do efeito de marquee,A,,,,,,
"22 Mar, 2021",,,,,,,,,
,P,Alterando campos de detalhes da produção,A,,,,,,
"18 Mar, 2021",,,,,,,,,
,P,Adicionando feedback visual ao campo de seleção de máquina,A,,,,,,
"17 Mar, 2021",,,,,,,,,
,P,Adicionando path no topo de cada página,A,,,,,,
"16 Mar, 2021",,,,,,,,,
,P,Alterando tamanho do toast,A,,,,,,
"15 Mar, 2021",,,,,,,,,
,P,Editando estilo do toast,A,,,,,,
"13 Mar, 2021",,,,,,,,,
,P,Merge,A,,,,,,
"10 Mar, 2021",,,,,,,,,
,G,Merge,A,,,,,,
"09 Mar, 2021",,,,,,,,,
,P,Corrigindo bug visual na barra de progresso,A,,,,,,
"05 Mar, 2021",,,,,,,,,
,G,correcao nova notificacao pelo menu,A,,,,,,
"04 Mar, 2021",,,,,,,,,
,G,Merge,A,,,,,,
"02 Mar, 2021",,,,,,,,,
,G,funcação para ler etiqueta manual,A,,,,,,
"26 Feb, 2021",,,,,,,,,
,P,Corrigindo bug onde edição de defeito não fechava o loader,A,,,,,,
,P,Corrigindo bug onde edição de defeito não fechava o loader,A,,,,,,
"25 Feb, 2021",,,,,,,,,
,P,Merge,A,,,,,,
"24 Feb, 2021",,,,,,,,,
,P,Fazendo lista atualizar para cada maquina selecionada mas exige ativação do filtro,A,,,,,,
"23 Feb, 2021",,,,,,,,,
,P,Adicionando regra para só salvar o log caso haja alteração,A,,,,,,
"22 Feb, 2021",,,,,,,,,
,P,"filtro nas tags, mas ainda com bugs",A,,,,,,
"11 Feb, 2021",,,,,,,,,
,G,Merge,A,,,,,,
"10 Feb, 2021",,,,,,,,,
,P,Adicionando registro de alteração os processos Funções e Transição,A,,,,,,
"09 Feb, 2021",,,,,,,,,
,P,implementando o log de mudanças no frontend nas ações,A,,,,,,
"08 Feb, 2021",,,,,,,,,
,P,Alterando filtro para listagem de alterações,A,,,,,,
"04 Feb, 2021",,,,,,,,,
,P,Adicionando restante dos arquivos da funcionalidade de auditoria,A,,,,,,
"01 Feb, 2021",,,,,,,,,
,P,Adicionando entidades da nova tabela para auditoria dos processos,A,,,,,,
"28 Jan, 2021",,,,,,,,,
,G,limpeza de cache com mqtt para ambiente clusterizado,A,,,,,,
"25 Jan, 2021",,,,,,,,,
,G,informando campos obrigatorios,A,,,,,,
"22 Jan, 2021",,,,,,,,,
,G,Merge,A,,,,,,
"21 Jan, 2021",,,,,,,,,
,P,Corrigindo bugs na etapa 2,A,,,,,,
"20 Jan, 2021",,,,,,,,,
,G,add type aos botões da home-notification para evitar do usuario digitar um...,A,add type aos botões da home-notification para evitar do usuario digitar um termo para pesquisa e apertar enter e ir para a pag de uma nova notificacao,,,,,
"19 Jan, 2021",,,,,,,,,
,G,Merge,A,,,,,,
"19 Jan, 2021",,,,,,,,,
,P,Melhorando a visualização de cada defeito,A,,,,,,
"18 Jan, 2021",,,,,,,,,
,P,Modificando o visual dos botões de navegação quando editando,A,,,,,,
"15 Jan, 2021",,,,,,,,,
,G,Merge,A,,,,,,
"14 Jan, 2021",,,,,,,,,
,P,"Adicionando comportamento ao botão ""ANTERIOR"" de cada etapa",A,,,,,,
"13 Jan, 2021",,,,,,,,,
,P,Adicionando detalhes na etapa de revisão dos defeitos,A,,,,,,
"12 Jan, 2021",,,,,,,,,
,G,Merge,A,,,,,,
"11 Jan, 2021",,,,,,,,,
,P,Correção no load da etapa 7 das notificações.,A,,,,,,
"08 Jan, 2021",,,,,,,,,
,G,Merge,A,,,,,,
"07 Jan, 2021",,,,,,,,,
,P,"Fazendo o upgrade na navegação para a etapa ""Processo""",A,,,,,,
"06 Jan, 2021",,,,,,,,,
,I,Alteração porta da URL engine,A,,,,,,
"05 Jan, 2021",,,,,,,,,
,I,Alteração do SecurityConfig,A,,,,,,
"05 Jan, 2021",,,,,,,,,
,P,Merge,A,,,,,,
"04 Jan, 2021",,,,,,,,,
,G,salvando edicao no SAF,A,,,,,,
"23 Dec, 2020",,,,,,,,,
,G,alterações para edicao notificacao,A,,,,,,
"22 Dec, 2020",,,,,,,,,
,P,Bloqueando campos não editaveis e adicionando informações na revisão,A,,,,,,
"21 Dec, 2020",,,,,,,,,
,G,Merge,A,,,,,,
"18 Dec, 2020",,,,,,,,,
,P,Iniciando API para buscar anexos pelo ID da Notificação,A,,,,,,
"17 Dec, 2020",,,,,,,,,
,P,Adicionando o preenchimento de mais campos pela notificação,A,,,,,,
"16 Dec, 2020",,,,,,,,,
,P,Preenchendo campos da primeria etapa e iniciando a segunda e terceira,A,,,,,,
"14 Dec, 2020",,,,,,,,,
,P,Começo do preenchimento dos campos para edição,A,,,,,,
"11 Dec, 2020",,,,,,,,,
,P,Conectando Front-end para fazer as requisições,A,,,,,,
"07 Dec, 2020",,,,,,,,,
,G,altera o primeito item da fila para status PENDING,A,,,,,,
"03 Dec, 2020",,,,,,,,,
,G,alteracao para exibição de colunas,A,,,,,,
"30 Nov, 2020",,,,,,,,,
,G,salvar notificacao em historico,A,,,,,,
"27 Nov, 2020",,,,,,,,,
,P,Merge,A,,,,,,
"25 Nov, 2020",,,,,,,,,
,G,TYPE and NOTIFICATION_NUMBER,A,,,,,,
"24 Nov, 2020",,,,,,,,,
,G,salva notificacao no historico,A,,,,,,
"23 Nov, 2020",,,,,,,,,
,P,Corrigindo bug que permitia escolher maquina antes da operação,A,,,,,,
"20 Nov, 2020",,,,,,,,,
,P,Merge,A,,,,,,
"20 Nov, 2020",,,,,,,,,
,G,Merge,A,,,,,,
"19 Nov, 2020",,,,,,,,,
,G,correcao Titulo da modal de Notificação,A,,,,,,
"18 Nov, 2020",,,,,,,,,
,G,adicionadas regras dos campos perdas,A,adicionado campo quantidade perdida em ConsolidatedTimeLine caso valor nao seja null utiliza-o para gerar relatorio caso seja null busca na api SAF,,,,,
"16 Nov, 2020",,,,,,,,,
,P,Fix: Anexos agora são removidos quando notificação reseta,A,,,,,,
"13 Nov, 2020",,,,,,,,,
,G,disable autocomplete controle de recursos,A,"Ao atualizar a receita e cancelar, não Mantem o valor editado;",,,,,
"12 Nov, 2020",,,,,,,,,
,P,Corrigindo remoção de foco dos campos (issues/134),A,,,,,,
"11 Nov, 2020",,,,,,,,,
,P,Removendo referência a produção após reset da notificação,A,,,,,,
"10 Nov, 2020",,,,,,,,,
,G,Merge,A,,,,,,
"09 Nov, 2020",,,,,,,,,
,G,enviando nome do usuario na leitura da etiqueta para depois salvar no...,A,enviando nome do usuario na leitura da etiqueta para depois salvar no apontamento automatizado empacotadoras,,,,,
"06 Nov, 2020",,,,,,,,,
,G,Subtask de 102 - Notificação de subitem exibiu campo repetido para preenchimento,A,,,,,,
"05 Nov, 2020",,,,,,,,,
,P,Corrigindo bug que prendia o navegador na página de notificação,A,,,,,,
"04 Nov, 2020",,,,,,,,,
,P,Resolvendo mini problema (issues/126),A,,,,,,
"03 Nov, 2020",,,,,,,,,
,P,Arrumando revisão para suportar tradução e Arrumando identificação do passo 2 (issues/139),A,,,,,,
"30 Oct, 2020",,,,,,,,,
,P,Colocando validação condicional no campo turma (issues/124),A,,,,,,
"29 Oct, 2020",,,,,,,,,
