Usuario,Projeto,Bug,Merge,DiaDaSemana,TamanhoDescricao
0,0,False,True,Tuesday,0
1,0,False,True,Tuesday,0
2,0,True,False,Friday,0
0,0,False,True,Wednesday,0
0,0,False,True,Monday,0
0,0,False,True,Friday,0
0,0,False,False,Thursday,0
2,0,False,False,Wednesday,0
3,0,True,False,Monday,0
0,0,False,False,Friday,0
0,0,False,True,Tuesday,0
0,0,False,False,Monday,105
0,0,False,False,Friday,0
3,0,False,False,Thursday,0
1,0,False,False,Tuesday,0
3,0,False,True,Monday,0
3,0,False,True,Friday,0
0,0,False,False,Thursday,0
0,0,False,False,Wednesday,0
0,0,False,False,Monday,35
0,0,False,True,Thursday,0
0,0,False,False,Wednesday,0
3,0,False,False,Tuesday,0
3,0,False,False,Wednesday,0
3,0,False,False,Monday,0
3,0,False,False,Thursday,0
3,0,False,False,Wednesday,0
3,0,False,False,Tuesday,0
3,0,False,False,Monday,0
3,0,False,True,Saturday,0
0,0,False,True,Wednesday,0
3,0,True,False,Tuesday,0
0,0,False,False,Friday,0
0,0,False,True,Thursday,0
0,0,False,False,Tuesday,0
3,0,True,False,Friday,0
3,0,True,False,Friday,0
3,0,False,True,Thursday,0
3,0,False,False,Wednesday,0
3,0,False,False,Tuesday,0
3,0,True,False,Monday,0
0,0,False,True,Thursday,0
3,0,False,False,Wednesday,0
3,0,False,False,Tuesday,67
3,0,False,False,Monday,0
3,0,False,False,Thursday,0
3,0,False,False,Monday,0
0,0,False,False,Thursday,0
0,0,False,False,Monday,0
0,0,False,True,Friday,0
3,0,True,False,Thursday,0
0,0,False,False,Wednesday,151
0,0,False,True,Tuesday,0
3,0,False,False,Tuesday,44
3,0,False,False,Monday,0
0,0,False,True,Friday,0
3,0,False,False,Thursday,40
3,0,False,False,Wednesday,0
0,0,False,True,Tuesday,0
3,0,False,False,Monday,0
0,0,False,True,Friday,0
3,0,False,False,Thursday,0
2,0,False,False,Wednesday,0
2,0,False,False,Tuesday,0
3,0,False,True,Tuesday,0
0,0,False,False,Monday,0
0,0,False,False,Wednesday,0
3,0,False,False,Tuesday,0
0,0,False,True,Monday,0
3,0,False,False,Friday,0
3,0,False,False,Thursday,0
3,0,False,False,Wednesday,0
3,0,False,False,Monday,0
3,0,False,False,Friday,0
0,0,False,False,Monday,0
0,0,False,False,Thursday,0
0,0,False,False,Monday,0
3,0,False,True,Friday,0
0,0,False,False,Wednesday,26
0,0,False,False,Tuesday,0
3,0,True,False,Monday,0
3,0,False,True,Friday,0
